"id","title","description","file_id"
"1f03fa0ecfdc282c78e28487ff5e4f53","Guess Jeans","Campaign",""
"0e5b326f4ec7f0f6fd3752e4d2bfd64d","Rosalia","Identity, album artwork and launch, merch and tour promo","rosalia_0e5b326f4ec7f0f6fd3752e4d2bfd64d.mp4"
"01ecabce656a6598c4feaa1b589959aa","Emcee Rebrand","Design, identity, branding, website, etc.","emcee1_01ecabce656a6598c4feaa1b589959aa.mp4"
"0d348c9c906834643d59fe86fa3e0abd","Cybotron Glastonbury Show","Made with friends - and AI","0720_0d348c9c906834643d59fe86fa3e0abd.mp4"
"80a4553ffd72e4e648bfb97ed0c03300","Hinge - AI Experiments","Can LLM's help daters find connection IRL?","hinge3_80a4553ffd72e4e648bfb97ed0c03300.mp4"
"bdc8f48dc58e9ac1e13151dbf92cec57","Air","Rebrand","air_1_bdc8f48dc58e9ac1e13151dbf92cec57.mp4"
"dd77ca7111fe5318dc78b467eec8583a","Interview","Ongoing","interview_dd77ca7111fe5318dc78b467eec8583a.mp4"
"f9e2ac77195b598fa8a5162f71fe07c0","Music: Response","Experiential Art venture with Smith & Lyall and The Chemical Brothers","music_response_f9e2ac77195b598fa8a5162f71fe07c0.mp4"
"533d0f671c30691bd23003e42a89ace9","Earth","49 Orchard Street, New York & 1530 Echo Park Avenue, Los Angeles","earth_533d0f671c30691bd23003e42a89ace9.mp4"
"35290a370225216a10dbcfd28407ff5d","Google","AI creative consultancy","google_35290a370225216a10dbcfd28407ff5d.mp4"
"bb79a25243e31bc91c508332ed757a93","Rolling Stone","Creative consultancy and magazine redesign","rollingstone-summer_bb79a25243e31bc91c508332ed757a93.mp4"
"decbf5dd225ae2203a101d0043ddad69","IKEA","Creative and strategic consultancy","decbf5dd225ae2203a101d0043ddad69.mp4"
"8791cba0f91b173e427fa79328981730","Offal","Creative collaboration and design","offal2_8791cba0f91b173e427fa79328981730.mp4"
"8e5072b228ca4353d18ff97517e598b6","KEF","Campaign and ongoing 'zine / event series","kef 1_8e5072b228ca4353d18ff97517e598b6.mp4"
"86b3845045187f56ad8b82ba40cbce73","MANA","New Brand for A16Z funded AI startup","86b3845045187f56ad8b82ba40cbce73.mp4"
"1cd34510e0eaa7f3579f32d80f1a57a6","NUTS","Live events and speaker series in NY and London","nuts 2_1cd34510e0eaa7f3579f32d80f1a57a6.mp4"
"cb847e4a9f919e03328055d3306ccedf","Interview","Ongoing (2023)","interview_cb847e4a9f919e03328055d3306ccedf.mp4"
"c8e66c888dca51bb5d14c9e00de21474","Mulberry","Wild posters for Softie / NYC Store Lauch","mulberry_ooh_c8e66c888dca51bb5d14c9e00de21474.mp4"
"d590423950209e85a73a111bfca85b38","Selfridges","Yellow Pages window displays","selfridges_windows_d590423950209e85a73a111bfca85b38.mp4"
"8f9e740097c0e25203d5917c5b781bed","M.A.C","Merch design and campaign ","mac_8f9e740097c0e25203d5917c5b781bed.mp4"
"e02a3f937a27191d26ebe44ab7683e53","Selfridges Yellow Pages","Creative consultancy and design consultancy ","selfridges_e02a3f937a27191d26ebe44ab7683e53.mp4"
"fb06c6367d18fdca21c605122c48844c","Mulberry Wild Within","A/W Campaign with Harry Lambert and friends","mulberry_ww_fb06c6367d18fdca21c605122c48844c.mp4"
"ad97fa15194c416d5a1e178edd09cbdb","JR Reality","Global AR Art Project with JR Studio / Niantic / Nexus / Art Practice","ad97fa15194c416d5a1e178edd09cbdb.mp4"
"dc68ad274722e2b09f5424de9f0e242d","NUTS","A FOOD fashion publication","nuts_child_dc68ad274722e2b09f5424de9f0e242d.mp4"
"b6aad61c00ebe1b1a14b3a2daad2043f","Heavy Traffic","Design","ht_b6aad61c00ebe1b1a14b3a2daad2043f.mp4"
"063de5d0fad8d0699593f4751e941939","Mulberry Softie","Integrated campaign for NYC Launch","softie 1_063de5d0fad8d0699593f4751e941939.mp4"
